Biologic Family,Proper Name,Proper Name (base),INN Stem,INN Substem,Biological Type,Notes,Proprietary Name,Applicant,BLA Number,BLA Type,Product Type,Ref. Product Proper Name,Ref. Product Proprietary Name,Family Reference Proprietary Name,Marketing Status
adalimumab,adalimumab,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Humira,AbbVie Inc.,125057,351(a),Reference,,,Humira,Rx
adalimumab,adalimumab-atto,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Amjevita,Amgen Inc.,761024,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-adbm,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",761058,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-bwwd,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Hadlima,"Samsung Bioepis Co., Ltd.",761059,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-adaz,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Hyrimoz,Sandoz Inc.,761071,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-afzb,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Abrilada,Pfizer Inc.,761118,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-fkjp,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Hulio,Biocon Biologics Inc.,761154,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-aqvh,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Yusimry,Hong Kong King-Friend Industrial Company Limited,761216,351(k) Biosimilar,Biosimilar,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-aaty,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Yuflyma,"CELLTRION, Inc.",761219,351(k) Biosimilar,Biosimilar,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-aacf,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Idacio,"Fresenius Kabi USA, LLC",761255,351(k) Biosimilar,Biosimilar,adalimumab,Humira,Humira,Rx
adalimumab,adalimumab-ryvk,adalimumab,'-mab,'-umab,Monoclonal antibody (human),,Simlandi,Alvotech USA Inc.,761299,351(k) Interchangeable,Interchangeable,adalimumab,Humira,Humira,Rx
aflibercept,aflibercept,aflibercept,'-cept,,Receptor fusion protein,,Eylea,"Regeneron Pharmaceuticals, Inc.",125387,351(a),Reference,,,Eylea,Rx
aflibercept,aflibercept-jbvf,aflibercept,'-cept,,Receptor fusion protein,,Yesafili,Biocon Biologics Inc.,761274,351(k) Interchangeable,Interchangeable,aflibercept,Eylea,Eylea,Rx
aflibercept,aflibercept-ayyh,aflibercept,'-cept,,Receptor fusion protein,,Pavblu,Amgen Inc.,761298,351(k) Biosimilar,Biosimilar,aflibercept,Eylea,Eylea,Rx
aflibercept,aflibercept-yszy,aflibercept,'-cept,,Receptor fusion protein,,Opuviz,"Samsung Bioepis Co., Ltd.",761350,351(k) Interchangeable,Interchangeable,aflibercept,Eylea,Eylea,Rx
